when_position,when_frequency,when_entailment,when_distance_from_publisher_date,when_accurate,score
0.6,0.7,0.5,0.7,0.0,0.8613421534330511
0.6,0.7,0.5,0.7,0.1,0.8500473667669448
0.6,0.7,0.5,0.7,0.2,0.8613421534330511
0.6,0.7,0.5,0.7,0.3,0.8495637957599806
0.6,0.7,0.5,0.7,0.4,0.8613421534330511
0.6,0.7,0.5,0.7,0.5,0.8543123313716044
0.6,0.7,0.5,0.7,0.6,0.8661380035979157
0.6,0.7,0.5,0.7,0.7,0.8543123313716044
0.6,0.7,0.5,0.7,0.8,0.8651925808827711
0.6,0.7,0.5,0.7,0.9,0.8533449968862237
0.6,0.0,0.8,0.2,0.9,1.0060736150726806
0.6,0.7,0.5,0.7,1.0,0.8638015738853927
0.6,0.7,0.5,0.8,0.0,0.8495637957599805
0.6,0.7,0.5,0.8,0.1,0.8613421534330512
0.6,0.7,0.5,0.8,0.2,0.8496094591903351
0.6,0.7,0.5,0.8,0.3,0.8613421534330512
0.6,0.7,0.5,0.8,0.4,0.8496094591903351
0.6,0.7,0.5,0.8,0.5,0.8613421534330512
0.6,0.7,0.5,0.8,0.6,0.8533906603165783
0.6,0.7,0.5,0.8,0.7,0.8661599153681518
0.6,0.7,0.5,0.8,0.8,0.8543604130083544
0.6,0.0,0.8,0.2,1.0,1.0290550828892222
0.6,0.7,0.5,0.8,0.9,0.8651925808827711
0.6,0.7,0.5,0.8,1.0,0.8586259460531654
0.6,0.7,0.5,0.9,0.0,0.8613421534330511
0.6,0.7,0.5,0.9,0.1,0.8500473667669448
0.6,0.7,0.5,0.9,0.2,0.8613421534330511
0.6,0.7,0.5,0.9,0.3,0.8495637957599806
0.6,0.7,0.5,0.9,0.4,0.8613421534330511
0.6,0.7,0.5,0.9,0.5,0.8495637957599806
0.6,0.7,0.5,0.9,0.6,0.8613894679862919
0.6,0.7,0.5,0.9,0.7,0.8543123313716044
0.6,0.0,0.8,0.3,0.0,0.982042743896296
0.6,0.7,0.5,0.9,0.8,0.8649387939614014
0.6,0.7,0.5,0.9,0.9,0.8533449968862237
0.6,0.7,0.5,0.9,1.0,0.8638015738853927
0.6,0.7,0.5,1.0,0.0,0.8495637957599805
0.6,0.7,0.5,1.0,0.1,0.8566334941878954
0.6,0.7,0.5,1.0,0.2,0.8495637957599805
0.6,0.7,0.5,1.0,0.3,0.8566334941878954
0.6,0.7,0.5,1.0,0.4,0.8495637957599805
0.6,0.7,0.5,1.0,0.5,0.8566334941878954
0.6,0.7,0.5,1.0,0.6,0.8485964612745999
0.6,0.0,0.8,0.3,0.1,0.9947782938499465
0.6,0.7,0.5,1.0,0.7,0.8614113797565279
0.6,0.7,0.5,1.0,0.8,0.8543604130083544
0.6,0.7,0.5,1.0,0.9,0.8651925808827711
0.6,0.7,0.5,1.0,1.0,0.8534149902932098
0.6,0.7,0.6,0.0,0.0,1.0008929632363195
0.6,0.7,0.6,0.0,0.1,0.9848583527343712
0.6,0.7,0.6,0.0,0.2,1.0080552192348937
0.6,0.7,0.6,0.0,0.3,0.9920586388743607
0.6,0.7,0.6,0.0,0.4,1.0116596614868547
0.6,0.7,0.6,0.0,0.5,0.9966304156117024
0.6,0.0,0.8,0.3,0.2,0.985018970631878
0.6,0.7,0.6,0.0,0.6,1.012674310525476
0.6,0.7,0.6,0.0,0.7,0.9966304156117024
0.6,0.7,0.6,0.0,0.8,1.012674310525476
0.6,0.7,0.6,0.0,0.9,0.9956630811263217
0.6,0.7,0.6,0.0,1.0,1.0211951718148764
0.6,0.7,0.6,0.1,0.0,0.9814145607490227
