position,frequency,entailment,accurate,score
0.8,0.3,0.9,0.0,0.0
0.8,0.3,0.9,0.1,0.19945297795044417
0.8,0.3,0.9,0.2,0.5779671656060795
0.8,0.3,0.9,0.3,0.7247503600220141
0.8,0.3,0.9,0.4,0.826732926176285
0.8,0.3,0.9,0.5,0.9219770082691838
0.8,0.3,0.9,0.6,0.9219770082691838
0.8,0.3,0.9,0.7,0.9219770082691838
0.8,0.3,0.9,0.8,0.9219770082691838
0.8,0.3,0.9,0.9,0.9449046952793044
0.0,1.0,0.4,0.3,0.19945297795044417
0.8,0.3,0.9,1.0,0.944905600431536
0.8,0.3,1.0,0.0,0.0
0.8,0.3,1.0,0.1,0.19945297795044417
0.8,0.3,1.0,0.2,0.5779671656060795
0.8,0.3,1.0,0.3,0.7247503600220141
0.8,0.3,1.0,0.4,0.826732926176285
0.8,0.3,1.0,0.5,0.9219770082691838
0.8,0.3,1.0,0.6,0.9219770082691838
0.8,0.3,1.0,0.7,0.9219770082691838
0.8,0.3,1.0,0.8,0.9219770082691838
0.0,1.0,0.4,0.5,0.19945297795044417
0.8,0.3,1.0,0.9,0.9449046952793044
0.8,0.3,1.0,1.0,0.944905600431536
0.8,0.4,0.0,0.1,0.06425482953856235
0.8,0.4,0.0,0.3,0.5748248526231898
0.8,0.4,0.0,0.5,0.7693188201824532
0.8,0.4,0.0,0.7,0.9219770082691838
0.8,0.4,0.0,0.9,0.9219770082691838
0.8,0.4,0.1,0.0,0.0
0.8,0.4,0.1,0.1,0.06425482953856235
0.8,0.4,0.1,0.2,0.19945297795044417
0.0,1.0,0.4,0.7,0.5748248526231898
0.8,0.4,0.1,0.3,0.5748248526231898
0.8,0.4,0.1,0.4,0.7247503600220141
0.8,0.4,0.1,0.5,0.7693188201824532
0.8,0.4,0.1,0.6,0.9219770082691838
0.8,0.4,0.1,0.7,0.9219770082691838
0.8,0.4,0.1,0.8,0.9219770082691838
0.8,0.4,0.1,0.9,0.9219770082691838
0.8,0.4,0.1,1.0,0.9219770082691838
0.8,0.4,0.2,0.1,0.06425482953856235
0.8,0.4,0.2,0.3,0.5748248526231898
0.0,1.0,0.4,0.9,0.724653460978927
0.8,0.4,0.2,0.5,0.7693188201824532
0.8,0.4,0.2,0.7,0.9219770082691838
0.8,0.4,0.2,0.9,0.9219770082691838
0.8,0.4,0.3,0.0,0.0
0.8,0.4,0.3,0.1,0.06425482953856235
0.8,0.4,0.3,0.2,0.19945297795044417
0.8,0.4,0.3,0.3,0.5748248526231898
0.8,0.4,0.3,0.4,0.7247503600220141
0.8,0.4,0.3,0.5,0.7693188201824532
0.8,0.4,0.3,0.6,0.9219770082691838
0.0,1.0,0.5,0.1,0.06425482953856235
0.8,0.4,0.3,0.7,0.9219770082691838
0.8,0.4,0.3,0.8,0.9219770082691838
0.8,0.4,0.3,0.9,0.9219770082691838
0.8,0.4,0.3,1.0,0.9219770082691838
0.8,0.4,0.4,0.1,0.06425482953856235
0.8,0.4,0.4,0.3,0.5748248526231898
0.8,0.4,0.4,0.5,0.7693188201824532
0.8,0.4,0.4,0.7,0.9219770082691838
0.8,0.4,0.4,0.9,0.9219770082691838
0.8,0.4,0.5,0.0,0.0
0.0,1.0,0.5,0.2,0.06425482953856235
0.8,0.4,0.5,0.1,0.06425482953856235
0.8,0.4,0.5,0.2,0.19945297795044417
0.8,0.4,0.5,0.3,0.5748248526231898
0.8,0.4,0.5,0.4,0.7247503600220141
0.8,0.4,0.5,0.5,0.7693188201824532
0.8,0.4,0.5,0.6,0.9219770082691838
0.8,0.4,0.5,0.7,0.9219770082691838
0.8,0.4,0.5,0.8,0.9219770082691838
0.8,0.4,0.5,0.9,0.9219770082691838
0.8,0.4,0.5,1.0,0.9219770082691838
0.0,1.0,0.5,0.3,0.19945297795044417
0.8,0.4,0.6,0.1,0.06425482953856235
0.8,0.4,0.6,0.3,0.5748248526231898
0.8,0.4,0.6,0.5,0.7693188201824532
0.8,0.4,0.6,0.7,0.9219770082691838
0.8,0.4,0.6,0.9,0.9219770082691838
0.8,0.4,0.7,0.0,0.0
0.8,0.4,0.7,0.1,0.06425482953856235
0.8,0.4,0.7,0.2,0.19945297795044417
0.8,0.4,0.7,0.3,0.5748248526231898
0.8,0.4,0.7,0.4,0.7247503600220141
0.0,1.0,0.5,0.4,0.19945297795044417
0.8,0.4,0.7,0.5,0.7693188201824532
0.8,0.4,0.7,0.6,0.9219770082691838
0.8,0.4,0.7,0.7,0.9219770082691838
0.8,0.4,0.7,0.8,0.9219770082691838
0.8,0.4,0.7,0.9,0.9219770082691838
0.8,0.4,0.7,1.0,0.9219770082691838
0.8,0.4,0.8,0.1,0.06425482953856235
0.8,0.4,0.8,0.3,0.5748248526231898
0.8,0.4,0.8,0.5,0.7693188201824532
0.8,0.4,0.8,0.7,0.9219770082691838
0.0,1.0,0.5,0.6,0.4938501599699551
0.8,0.4,0.8,0.9,0.9219770082691838
0.8,0.4,0.9,0.0,0.0
0.8,0.4,0.9,0.1,0.06425482953856235
