position,frequency,entailment,distance_from_publisher_date,accurate,score
0.7,0.5,0.3,0.8,0.3,0.06707346701286276
0.7,0.5,0.3,0.8,0.4,0.03734659767163209
0.7,0.5,0.3,0.8,0.5,0.07376811570406959
0.7,0.5,0.3,0.8,0.6,0.053471424988178994
0.7,0.5,0.3,0.8,0.7,0.09410205210024228
0.7,0.5,0.3,0.8,0.8,0.0440167097770524
0.7,0.5,0.3,0.8,0.9,0.09410205210024228
0.7,0.5,0.3,0.8,1.0,0.08341958967338871
0.7,0.5,0.3,0.9,0.0,0.06711784170643137
0.7,0.5,0.3,0.9,0.1,0.037142736226864884
0.0,0.8,0.3,0.3,0.0,0.07836901468106973
0.7,0.5,0.3,0.9,0.2,0.06711784170643137
0.7,0.5,0.3,0.9,0.3,0.041254392946054735
0.7,0.5,0.3,0.9,0.4,0.06751205927780568
0.7,0.5,0.3,0.9,0.5,0.041254392946054735
0.7,0.5,0.3,0.9,0.6,0.07416233327544433
0.7,0.5,0.3,0.9,0.7,0.053277816502396116
0.7,0.5,0.3,0.9,0.8,0.0920841226499524
0.7,0.5,0.3,0.9,0.9,0.0440167097770524
0.7,0.5,0.3,0.9,1.0,0.12498099159925588
0.7,0.5,0.3,1.0,0.0,0.019228774666299926
0.0,0.8,0.3,0.3,0.1,0.06676430889928033
0.7,0.5,0.3,1.0,0.1,0.06711784170643137
0.7,0.5,0.3,1.0,0.2,0.02129013753546938
0.7,0.5,0.3,1.0,0.3,0.06711784170643137
0.7,0.5,0.3,1.0,0.4,0.017188733775264312
0.7,0.5,0.3,1.0,0.5,0.0645076775669426
0.7,0.5,0.3,1.0,0.6,0.0331444891918153
0.7,0.5,0.3,1.0,0.7,0.09858583144359354
0.7,0.5,0.3,1.0,0.8,0.050861260848690665
0.7,0.5,0.3,1.0,0.9,0.09189051416416953
0.7,0.5,0.3,1.0,1.0,0.07041186993271475
0.0,0.8,0.3,0.3,0.2,0.09474746402717006
0.7,0.6,0.3,0.0,0.0,0.7116922766361742
0.7,0.6,0.3,0.0,0.1,0.6305242324835695
0.7,0.6,0.3,0.0,0.2,0.7116922766361742
0.7,0.6,0.3,0.0,0.3,0.6631030364770937
0.7,0.6,0.3,0.0,0.4,0.7679569804191851
0.7,0.6,0.3,0.0,0.5,0.6672146931962836
0.7,0.6,0.3,0.0,0.6,0.7291308738355374
0.7,0.6,0.3,0.0,0.7,0.6672146931962836
